message_id,action,message_type,reason,confidence,evidence_message_ids
msg_085,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_001,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0057;message_0139;message_0240
msg_021,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0270;message_0001;message_0099
msg_028,mute,promotion,Promotional message from a business the user opted out of.,0.90,message_0034;message_0257;message_0402
msg_012,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0178;message_0194;message_0079
msg_064,digest,payment,"Forwarded payment content without provenance, batched for later review.",0.60,message_0087;message_0162;message_0183
msg_103,notify,urgent,Time-sensitive request that should interrupt the user.,0.90,message_0065;message_0382;message_0049
msg_031,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0036;message_0222;message_0055
msg_057,notify,personal,Direct mention of the user in a personal conversation.,0.90,message_0059;message_0169;message_0003
msg_087,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_067,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0068;message_0098;message_0029
msg_039,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0364;message_0365;message_0051
msg_082,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_066,mute,promotion,Promotional message from a business the user opted out of.,0.90,message_0257;message_0402;message_0052
msg_049,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0154;message_0291;message_0153
msg_015,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0023;message_0045;message_0221
msg_051,mute,promotion,Promotional message from a business the user opted out of.,0.90,message_0257;message_0402;message_0052
msg_097,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0054;message_0167;message_0225
msg_089,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0299;message_0396;message_0301
msg_053,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0161;message_0253;message_0411
msg_059,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0221;message_0263;message_0053
msg_024,mute,promotion,Promotional message from a business the user opted out of.,0.90,message_0257;message_0402;message_0052
msg_072,mute,scam,"Message asks for an OTP or login code after prompting a reply, which looks like a scam.",0.99,message_0023;message_0045;message_0056
msg_036,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0283;message_0281;message_0125
msg_076,digest,payment,"Forwarded payment content without provenance, batched for later review.",0.60,message_0208;message_0207;message_0159
msg_055,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0165;message_0166;message_0347
msg_102,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0230;message_0371;message_0062
msg_080,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0130;message_0142;message_0150
msg_093,mute,scam,"Message asks for an OTP or login code after prompting a reply, which looks like a scam.",0.99,message_0347;message_0348;message_0349
msg_034,mute,greeting,"Forwarded greeting with no personal value, so it was muted.",0.80,message_0013;message_0054;message_0167
msg_035,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0281;message_0125;message_0283
msg_101,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0229;message_0268;message_0370
msg_041,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0137;message_0138;message_0106
msg_011,mute,greeting,"Forwarded greeting with no personal value, so it was muted.",0.80,message_0077;message_0123;message_0171
msg_110,mute,scam,"Message asks for an OTP or login code after prompting a reply, which looks like a scam.",0.99,message_0238;message_0320;message_0047
msg_095,mute,payment,"Message tries to override routing rules, so it was suppressed as unsafe.",0.99,message_0087;message_0183;message_0201
msg_074,digest,payment,"Forwarded payment content without provenance, batched for later review.",0.60,message_0203;message_0204;message_0358
msg_073,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0147;message_0252;message_0019
msg_054,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0389;message_0220;message_0163
msg_068,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0191
msg_100,notify,urgent,Time-sensitive request that should interrupt the user.,0.90,message_0362;message_0228;message_0117
msg_062,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0043;message_0068;message_0098
msg_096,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,none
msg_043,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0030;message_0067;message_0097
msg_077,notify,event,Time-sensitive event update from a group admin that the user needs now.,0.85,message_0051;message_0364;message_0403
msg_081,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_025,notify,business_update,Delivery or order update from a verified business that matches recent activity.,0.85,message_0004;message_0239;message_0105
msg_084,mute,spam,"Empty message from a sender the user opted out of, so it was muted.",0.90,none
msg_022,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0151;message_0030;message_0099
